"","CN","PLT_CN","PREV_TRE_CN","INVYR","CYCLE","STATECD","UNITCD","COUNTYCD","PLOT","SUCP","cycle_aw","SUBP","TREE","CONDID","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIACALC","DIAHTCD","HT","HTCD","AGENTCD","BHAGE","CCLCD","DECAYCD"
"80",51623599020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,5,1,NA,1,"122",11,8.9,8.9,1,51,1,NA,NA,3,NA
"81",51623600020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,6,1,NA,1,"122",11,7.1,7.1,1,43,1,NA,NA,3,NA
"82",51623601020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,7,1,NA,2,"122",11,NA,13.1,1,NA,NA,10,NA,NA,NA
"83",51623602020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,8,1,NA,1,"122",11,10.4,10.4,1,55,1,NA,67,3,NA
"84",51623603020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,9,1,NA,1,"122",11,15.1,15.1,1,59,1,NA,NA,3,NA
"85",51623604020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,10,1,NA,2,"814",48,10,10,2,25,1,20,NA,NA,2
"86",51623608020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",2,2,1,NA,1,"122",11,15.2,15.2,1,59,1,NA,NA,3,NA
"87",51623605020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,11,1,NA,1,"122",11,6,6,1,25,1,NA,62,4,NA
"88",51623606020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,12,1,NA,1,"122",11,16.4,16.4,1,65,1,NA,74,3,NA
"89",51623607020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",2,1,1,NA,1,"122",11,16.1,16.1,1,51,1,NA,NA,3,NA
"90",51623609020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",2,3,1,NA,1,"122",11,18.3,18.3,1,69,1,NA,74,3,NA
"91",51623610020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",2,4,1,NA,1,"122",11,5.1,5.1,1,25,1,NA,NA,4,NA
"92",51623611020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",3,1,1,NA,1,"122",11,23.2,23.2,1,60,1,NA,149,2,NA
"93",51623612020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,1,1,NA,1,"122",11,12.5,12.5,1,61,1,NA,NA,3,NA
"94",51623613020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,2,1,NA,1,"122",11,9.4,9.4,1,48,1,NA,NA,4,NA
"95",51623614020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,3,1,NA,1,"122",11,17.5,17.5,1,61,1,NA,NA,3,NA
"96",51623615020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,4,1,NA,1,"122",11,11.9,11.9,1,51,1,NA,NA,3,NA
"97",51623616020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,5,1,NA,1,"122",11,12.3,12.3,1,47,1,NA,NA,3,NA
"98",51623617020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,6,1,NA,1,"122",11,5.3,5.3,1,25,1,NA,NA,4,NA
"99",51623618020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,7,1,NA,1,"122",11,11.3,11.3,1,49,1,NA,NA,3,NA
"100",51623619020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,8,1,NA,1,"122",11,13.3,13.3,1,62,1,NA,NA,3,NA
"101",51623620020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,9,1,NA,1,"122",11,7.8,7.8,1,38,1,NA,NA,4,NA
"102",51623621020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,10,1,NA,1,"122",11,18.7,18.7,1,66,1,NA,NA,3,NA
"103",51623622020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,11,1,NA,1,"122",11,11.5,11.5,1,42,1,NA,NA,3,NA
"104",51623623020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,12,1,NA,1,"122",11,9.7,9.7,1,54,1,NA,NA,3,NA
"105",51623624020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,13,1,NA,1,"122",11,6,6,1,12,1,NA,NA,4,NA
"106",51623625020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,14,1,NA,1,"122",11,13,13,1,58,1,NA,NA,3,NA
"107",51623626020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",4,15,1,NA,1,"122",11,10.4,10.4,1,49,1,NA,NA,3,NA
