"","SUCP","STATECD","SPCD","cycle_aw","STATUSCD","SizeClass","Treecount","ExpanFactor","TPA","DSTRBCD1","DSTRBYR1","Fire"
"89","35_2_57_82122","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
"90","35_2_57_82122","NewMexico",122,"2",1,"A",0,74.96528,0,"1",2009,"1"
"91","35_2_57_92627","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"92","35_2_57_92627","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"93","35_2_7_80435","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"94","35_2_7_80435","NewMexico",122,"2",1,"A",3,74.96528,224.89584,NA,NA,"0"
"95","35_2_7_82344","NewMexico",122,"1",1,"A",3,74.96528,224.89584,NA,NA,"0"
"96","35_2_7_82344","NewMexico",122,"2",1,"A",3,74.96528,224.89584,NA,NA,"0"
"97","35_2_7_84202","NewMexico",122,"1",1,"A",71,74.96528,5322.53488,NA,NA,"0"
"98","35_2_7_84202","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"99","35_2_7_86377","NewMexico",122,"1",1,"A",3,74.96528,224.89584,NA,NA,"0"
"100","35_2_7_86377","NewMexico",122,"2",1,"A",7,74.96528,524.75696,NA,NA,"0"
"101","35_2_7_86813","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"102","35_2_7_86813","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"103","35_2_7_87274","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"104","35_2_7_87274","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"105","35_2_7_87422","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"106","35_2_7_87422","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"107","35_2_7_87567","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"108","35_2_7_87567","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"109","35_2_7_88529","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"110","35_2_7_88529","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"111","35_2_7_91248","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"112","35_2_7_91248","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"113","35_2_7_91464","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"114","35_2_7_91464","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"115","35_2_7_91571","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"116","35_2_7_91571","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"117","35_2_7_91643","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"118","35_2_7_91643","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"119","35_2_7_91828","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"120","35_2_7_91828","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"121","35_2_7_92045","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
